rank,country,safety_index
1,Venezuela,15.8
2,Papua New Guinea,19.8
3,South Africa,22.9
4,Afghanistan,23.6
5,Honduras,25.2
6,Trinidad And Tobago,29.1
7,El Salvador,31.2
8,Guyana,31.3
9,Syria,31.9
10,Brazil,32.2
11,Jamaica,32.5
12,Angola,33.4
13,Peru,33.4
14,Namibia,34.1
15,Bangladesh,35.8
16,Nigeria,36.1
17,Puerto Rico,36.6
18,Argentina,36.7
19,Bahamas,37.7
20,Libya,38.0
21,Kenya,38.6
22,Belarus,39.7
23,Dominican Republic,39.9
24,Zimbabwe,41.1
25,Guatemala,41.8
26,Fiji,42.1
27,Malaysia,42.1
28,Tanzania,43.4
29,Uganda,43.9
30,Somalia,44.0
31,Maldives,44.0
32,Colombia,44.2
33,Mongolia,44.4
34,Kyrgyzstan,44.6
35,Bolivia,44.6
36,Costa Rica,44.7
37,Mexico,45.0
38,Ecuador,45.6
39,Kazakhstan,46.0
40,Botswana,47.2
41,Chile,47.9
42,Algeria,48.1
43,Belize,48.7
44,Uruguay,48.8
45,Cambodia,48.8
46,Ethiopia,50.0
47,France,50.8
48,Iran,50.8
49,Morocco,50.9
50,Paraguay,51.0
51,Iraq,51.2
52,Ghana,51.5
53,Nicaragua,51.6
54,Ukraine,51.7
55,Mauritius,52.1
56,United States,52.3
57,Sweden,52.8
58,Myanmar,52.8
59,Lebanon,53.0
60,Egypt,53.2
61,Moldova,53.4
62,Indonesia,53.8
63,Vietnam,53.9
64,Panama,54.2
65,United Kingdom,54.7
66,Ireland,55.0
67,India,55.3
68,Italy,55.6
69,Belgium,55.8
70,Greece,55.9
71,Palestine,56.0
72,Pakistan,56.1
73,Tunisia,56.6
74,Zambia,56.8
75,Bosnia And Herzegovina,57.0
76,Australia,57.6
77,New Zealand,57.7
78,Philippines,57.8
79,Albania,58.4
80,Montenegro,58.4
81,Sri Lanka,58.8
82,Canada,58.8
83,Jordan,59.3
84,Russia,59.9
85,Turkey,60.5
86,Thailand,60.6
87,Malta,61.1
88,North Macedonia,61.4
89,Serbia,61.7
90,Bulgaria,61.9
91,Latvia,62.8
92,Kosovo (Disputed Territory),63.9
93,Nepal,64.3
94,Germany,64.6
95,Hungary,65.2
96,Uzbekistan,65.3
97,Kuwait,66.0
98,Lithuania,66.2
99,Norway,66.6
100,Spain,66.9
101,Singapore,67.0
102,Luxembourg,67.8
103,Cyprus,68.0
104,Azerbaijan,68.3
105,Israel,68.8
106,China,69.8
107,Portugal,70.1
108,Slovakia,70.3
109,Poland,70.7
110,Cuba,70.9
111,Romania,71.7
112,Brunei,72.0
113,Netherlands,72.8
114,Finland,73.0
115,South Korea,73.1
116,Denmark,73.3
117,Bahrain,73.9
118,Saudi Arabia,74.1
119,Czech Republic,74.7
120,Rwanda,74.7
121,Austria,74.8
122,Croatia,75.1
123,Iceland,75.9
124,Estonia,76.6
125,Armenia,76.7
126,Georgia,77.4
127,Japan,78.0
128,Slovenia,78.2
129,Hong Kong,78.3
130,Switzerland,78.7
131,Isle Of Man,79.2
132,Oman,79.7
133,United Arab Emirates,84.6
134,Taiwan,84.8
135,Qatar,87.7
