rank,country,safety_index
1,Venezuela,16.4
2,Papua New Guinea,18.8
3,Afghanistan,23.0
4,South Africa,23.9
5,Honduras,25.8
6,Trinidad And Tobago,28.6
7,Guyana,31.1
8,El Salvador,31.4
9,Jamaica,32.2
10,Syria,32.5
11,Peru,32.9
12,Brazil,33.0
13,Cameroon,33.4
14,Angola,33.6
15,Namibia,35.3
16,Argentina,35.9
17,Nigeria,36.2
18,Bangladesh,36.6
19,Mozambique,37.2
20,Bahamas,37.5
21,Puerto Rico,37.8
22,Us Virgin Islands,39.1
23,Dominican Republic,39.1
24,Libya,39.7
25,North Korea,39.7
26,Zimbabwe,40.3
27,Belarus,41.6
28,Bolivia,41.7
29,Guatemala,41.7
30,Somalia,42.0
31,Colombia,42.3
32,Ecuador,42.8
33,Kyrgyzstan,43.4
34,Tanzania,43.7
35,Uganda,43.8
36,Kenya,43.8
37,Malaysia,44.3
38,Fiji,44.4
39,Maldives,45.3
40,Chile,46.0
41,Costa Rica,46.1
42,Algeria,46.2
43,Mongolia,46.3
44,Mexico,46.3
45,Kazakhstan,46.6
46,France,47.6
47,Botswana,47.6
48,Belize,48.5
49,Uruguay,48.6
50,Cambodia,49.3
51,Ethiopia,49.9
52,Paraguay,50.8
53,Iran,50.9
54,Morocco,50.9
55,Sweden,51.0
56,Mauritius,51.1
57,United States,51.8
58,Nicaragua,52.1
59,Moldova,52.6
60,Greece,52.6
61,Iraq,53.0
62,Ukraine,53.1
63,Lebanon,53.1
64,Ghana,53.2
65,Egypt,53.4
66,Barbados,53.4
67,Myanmar,53.5
68,United Kingdom,53.5
69,Zambia,53.7
70,Indonesia,53.9
71,Albania,53.9
72,Vietnam,54.2
73,Ireland,54.5
74,Belgium,54.6
75,Italy,54.8
76,India,55.4
77,Sudan,55.4
78,Tunisia,55.7
79,Panama,56.1
80,Australia,56.2
81,New Zealand,56.7
82,Palestine,56.8
83,Canada,57.1
84,Philippines,57.7
85,Kosovo (Disputed Territory),57.7
86,Bosnia And Herzegovina,57.8
87,Pakistan,58.0
88,Sri Lanka,58.8
89,Montenegro,58.9
90,North Macedonia,59.1
91,Malta,59.2
92,Jordan,59.8
93,Turkey,60.3
94,Russia,60.4
95,Thailand,60.7
96,Bulgaria,61.3
97,Latvia,61.3
98,Serbia,61.7
99,Nepal,62.5
100,Germany,63.6
101,Luxembourg,64.3
102,Hungary,65.7
103,Spain,66.1
104,Norway,66.2
105,Uzbekistan,66.2
106,Kuwait,66.6
107,Lithuania,66.7
108,Azerbaijan,67.7
109,Israel,67.9
110,Cyprus,67.9
111,Cuba,69.1
112,Portugal,69.4
113,Slovakia,69.8
114,Poland,70.2
115,China,70.6
116,Brunei,71.0
117,Romania,71.2
118,Netherlands,72.1
119,Singapore,72.4
120,Finland,72.7
121,Denmark,73.4
122,South Korea,73.5
123,Austria,73.9
124,Czech Republic,74.5
125,Monaco,74.9
126,Saudi Arabia,75.3
127,Bahrain,75.6
128,Rwanda,75.7
129,Georgia,75.7
130,Croatia,75.9
131,Estonia,76.2
132,Iceland,76.5
133,Slovenia,77.3
134,Armenia,77.9
135,Japan,77.9
136,Hong Kong,78.1
137,Switzerland,78.3
138,Oman,80.0
139,Isle Of Man,81.4
140,Taiwan,84.1
141,United Arab Emirates,84.9
142,Qatar,86.2
