rank,country,safety_index
1,Venezuela,17.4
2,Papua New Guinea,20.1
3,Afghanistan,21.4
4,South Africa,24.6
5,Honduras,25.8
6,Trinidad And Tobago,29.4
7,Guyana,31.0
8,Syria,31.2
9,Somalia,31.4
10,Jamaica,32.2
11,Peru,32.4
12,Brazil,33.4
13,Nigeria,34.5
14,Angola,34.6
15,Cameroon,35.2
16,Namibia,35.2
17,El Salvador,35.6
18,Argentina,35.7
19,Mozambique,36.6
20,Bangladesh,37.4
21,Bahamas,37.6
22,Puerto Rico,38.0
23,Dominican Republic,38.8
24,Us Virgin Islands,39.1
25,Bolivia,39.2
26,Zimbabwe,39.5
27,Colombia,39.8
28,Libya,39.8
29,Guatemala,40.3
30,Ecuador,40.6
31,Chile,41.9
32,Kenya,43.0
33,Fiji,43.0
34,Belarus,43.6
35,Tanzania,44.5
36,France,44.7
37,Uganda,45.1
38,Kyrgyzstan,45.4
39,Maldives,45.5
40,Mexico,45.6
41,Mongolia,46.1
42,Costa Rica,46.2
43,Botswana,46.3
44,Belize,46.9
45,Cambodia,47.1
46,Malaysia,47.1
47,Uruguay,47.3
48,Kazakhstan,47.3
49,Algeria,47.4
50,North Korea,47.6
51,Ethiopia,49.1
52,Paraguay,49.2
53,Iran,50.1
54,Belgium,50.9
55,United States,51.0
56,Zambia,51.2
57,Nicaragua,51.2
58,Sweden,51.5
59,Myanmar,51.8
60,Mauritius,51.9
61,Barbados,52.1
62,Egypt,52.8
63,Moldova,52.9
64,Greece,53.0
65,United Kingdom,53.1
66,Italy,53.1
67,Morocco,53.2
68,Ukraine,53.3
69,Sudan,53.5
70,Lebanon,53.8
71,Iraq,53.9
72,Indonesia,54.1
73,Ireland,54.1
74,New Zealand,54.2
75,Albania,54.3
76,Australia,54.5
77,India,55.4
78,Tunisia,55.4
79,Ghana,55.5
80,Vietnam,55.5
81,Canada,55.7
82,Panama,56.3
83,Bosnia And Herzegovina,57.1
84,Philippines,57.3
85,Malta,57.5
86,Pakistan,57.7
87,Sri Lanka,58.6
88,Jordan,59.0
89,Palestine,59.0
90,North Macedonia,59.1
91,Kosovo (Disputed Territory),59.2
92,Turkey,59.9
93,Montenegro,60.2
94,Russia,60.7
95,Thailand,61.3
96,Serbia,61.8
97,Bulgaria,62.0
98,Latvia,62.3
99,Nepal,62.4
100,Germany,62.4
101,Spain,64.3
102,Luxembourg,64.9
103,Hungary,66.1
104,Uzbekistan,66.5
105,Norway,66.5
106,Lithuania,67.0
107,Israel,67.4
108,Kuwait,67.4
109,Romania,68.0
110,Azerbaijan,68.2
111,Cuba,68.4
112,Portugal,68.5
113,Slovakia,68.6
114,Cyprus,68.6
115,Singapore,70.8
116,Poland,70.8
117,Brunei,71.0
118,Rwanda,72.4
119,Netherlands,72.7
120,Austria,72.7
121,Finland,73.2
122,Czech Republic,73.4
123,Denmark,73.4
124,China,73.7
125,Georgia,74.1
126,South Korea,74.5
127,Estonia,74.9
128,Iceland,75.1
129,Saudi Arabia,75.4
130,Monaco,75.4
131,Croatia,75.4
132,Slovenia,75.8
133,Bahrain,76.0
134,Switzerland,76.4
135,Japan,76.9
136,Armenia,78.0
137,Hong Kong (China),78.5
138,Oman,80.3
139,Isle Of Man,82.0
140,Taiwan (China),83.8
141,United Arab Emirates,84.9
142,Qatar,85.2
