rank,country,safety_index
1,Venezuela,15.5
2,Papua New Guinea,18.1
3,South Africa,22.5
4,Afghanistan,23.8
5,Honduras,23.9
6,Trinidad And Tobago,26.8
7,Brazil,31.1
8,Peru,31.8
9,El Salvador,32.0
10,Guyana,32.3
11,Namibia,32.8
12,Syria,33.5
13,Jamaica,34.0
14,Puerto Rico,34.4
15,Angola,35.0
16,Bangladesh,36.1
17,Nigeria,36.2
18,Bahamas,37.1
19,Libya,37.8
20,Kazakhstan,38.0
21,Argentina,38.2
22,Kenya,38.3
23,Dominican Republic,38.8
24,Uganda,41.0
25,Tanzania,41.0
26,Fiji,41.1
27,Malaysia,41.2
28,Somalia,41.5
29,Mongolia,42.0
30,Guatemala,42.2
31,Zimbabwe,42.5
32,Costa Rica,43.7
33,Colombia,45.2
34,Mexico,46.0
35,Uruguay,46.2
36,Botswana,46.5
37,Maldives,46.8
38,Bolivia,47.1
39,Ecuador,49.1
40,Cambodia,49.3
41,Algeria,50.2
42,Paraguay,50.4
43,Iran,50.7
44,Ethiopia,50.8
45,Ghana,51.0
46,Ukraine,51.1
47,Morocco,51.3
48,Iraq,52.2
49,Mauritius,52.7
50,United States,52.8
51,Panama,52.8
52,Sweden,52.9
53,Egypt,53.1
54,France,53.2
55,Myanmar,54.1
56,Indonesia,54.2
57,Ireland,54.6
58,Vietnam,54.7
59,Chile,54.8
60,Moldova,55.0
61,Nicaragua,55.6
62,Italy,55.7
63,Pakistan,55.9
64,Belgium,56.0
65,United Kingdom,56.3
66,Palestine,56.4
67,Lebanon,56.6
68,India,56.7
69,Bosnia And Herzegovina,57.0
70,Philippines,57.8
71,Tunisia,58.1
72,Australia,58.6
73,Montenegro,58.8
74,Russia,58.9
75,New Zealand,59.1
76,Jordan,59.2
77,Thailand,59.5
78,Greece,59.7
79,Sri Lanka,59.8
80,Canada,60.3
81,Albania,60.5
82,Turkey,60.5
83,Malta,61.0
84,North Macedonia,61.3
85,Bulgaria,61.5
86,Serbia,62.6
87,Latvia,63.0
88,Norway,64.6
89,Hungary,64.9
90,Germany,65.2
91,Kuwait,65.2
92,Nepal,65.4
93,Luxembourg,66.6
94,Lithuania,66.9
95,Kosovo (Disputed Territory),67.1
96,Spain,68.0
97,China,68.2
98,Azerbaijan,68.4
99,Singapore,69.4
100,Cyprus,70.0
101,Portugal,70.4
102,Israel,70.4
103,Bahrain,70.7
104,Slovakia,70.8
105,Poland,71.5
106,South Korea,72.0
107,Brunei,72.3
108,Romania,72.4
109,Netherlands,72.4
110,Cuba,72.5
111,Saudi Arabia,73.8
112,Czech Republic,74.5
113,Denmark,74.9
114,Belarus,75.0
115,Croatia,75.3
116,Austria,76.3
117,Iceland,76.6
118,Finland,76.7
119,Estonia,76.9
120,Armenia,78.4
121,Switzerland,78.4
122,Slovenia,78.9
123,Oman,79.2
124,Hong Kong,79.3
125,Japan,79.3
126,Georgia,79.8
127,United Arab Emirates,84.3
128,Taiwan,84.3
129,Qatar,88.1
